pid7,twitter_data_perc,no_twitter_data_perc
Strong Democrat,30.949197860962567,27.095808383233532
Moderate Democrat,13.836898395721924,12.5249500998004
Weak Democrat,10.56149732620321,7.684630738522954
Independent,12.767379679144387,17.115768463073852
Weak Republican,8.890374331550802,8.13373253493014
Moderate Republican,9.959893048128341,10.62874251497006
Strong Republican,11.564171122994653,14.520958083832337
N,1496,2004
